Date,Open,High,Low,Close,Volume,Adj Close
2001-12-31,10136.36,10178.71,10002.96,10021.57,943600000,10021.57
2001-12-28,10133.94,10220.78,10067.17,10136.99,917400000,10136.99
2001-12-27,10088.71,10187.71,10036.10,10131.31,876300000,10131.31
2001-12-26,10035.55,10203.28,10014.10,10088.14,791100000,10088.14
2001-12-24,10036.59,10114.91,9987.39,10035.34,439670000,10035.34
2001-12-21,9986.84,10148.13,9935.70,10035.34,1694000000,10035.34
2001-12-20,10064.13,10141.21,9912.76,9985.18,1490500000,9985.18
2001-12-19,9994.59,10142.95,9876.96,10070.49,1484900000,10070.49
2001-12-18,9893.22,10066.27,9876.19,9998.39,1354000000,9998.39
2001-12-17,9809.42,9996.25,9747.77,9891.97,1260400000,9891.97
2001-12-14,9764.72,9888.44,9661.14,9811.15,1306800000,9811.15
2001-12-13,9889.13,9927.95,9691.30,9766.45,1511500000,9766.45
2001-12-12,9887.27,9985.59,9745.42,9894.81,1449700000,9894.81
2001-12-11,9925.60,10063.98,9794.48,9888.37,1367200000,9888.37
2001-12-10,10047.04,10123.78,9868.03,9921.45,1218700000,9921.45
2001-12-07,10099.14,10160.24,9938.54,10049.46,1248200000,10049.46
2001-12-06,10113.53,10220.23,9997.98,10099.14,1487900000,10099.14
2001-12-05,9891.35,10195.04,9875.92,10114.29,1765300000,10114.29
2001-12-04,9765.55,9937.29,9700.24,9893.84,1318500000,9893.84
2001-12-03,9848.93,9861.94,9651.87,9763.96,1202900000,9763.96
2001-11-30,9828.80,9945.80,9752.26,9851.56,1343600000,9851.56
2001-11-29,9710.34,9873.29,9629.72,9829.42,1375700000,9829.42
2001-11-28,9867.06,9889.13,9662.80,9711.86,1423700000,9711.86
2001-11-27,9980.33,10021.48,9776.07,9872.60,1288000000,9872.60
2001-11-26,9961.58,10054.58,9862.22,9982.75,1129800000,9982.75
2001-11-23,9833.09,9983.24,9804.37,9959.71,410300000,9959.71
2001-11-21,9894.19,9932.31,9746.45,9834.68,1029300000,9834.68
2001-11-20,9968.64,10023.37,9825.06,9901.38,1330200000,9901.38
2001-11-19,9870.45,10040.46,9826.96,9976.46,1316800000,9976.46
2001-11-16,9871.51,9967.94,9754.07,9866.99,1337400000,9866.99
2001-11-15,9824.65,9967.46,9745.43,9872.39,1454500000,9872.39
2001-11-14,9751.13,9943.18,9683.97,9823.61,1443400000,9823.61
2001-11-13,9551.43,9811.29,9551.43,9750.95,1370100000,9750.95
2001-11-12,9606.13,9642.25,9347.76,9554.37,991600000,9554.37
2001-11-09,9586.96,9692.35,9478.75,9608.00,1093800000,9608.00
2001-11-08,9558.39,9765.00,9506.91,9587.52,1517500000,9587.52
2001-11-07,9584.68,9695.67,9457.99,9554.37,1411300000,9554.37
2001-11-06,9437.09,9627.44,9315.79,9591.12,1356000000,9591.12
2001-11-05,9326.59,9534.58,9326.59,9441.03,1267700000,9441.03
2001-11-02,9264.52,9406.93,9152.91,9323.54,1121900000,9323.54
2001-11-01,9087.45,9320.77,8987.61,9263.90,1317400000,9263.90
2001-10-31,9123.64,9281.68,9018.26,9075.14,1352500000,9075.14
2001-10-30,9264.52,9265.34,9011.96,9121.98,1297400000,9121.98
2001-10-29,9543.37,9543.37,9232.83,9269.50,1106100000,9269.50
2001-10-26,9462.28,9626.54,9369.35,9545.17,1244500000,9545.17
2001-10-25,9342.29,9491.48,9143.09,9462.90,1364400000,9462.90
2001-10-24,9341.40,9456.40,9218.29,9345.62,1336200000,9345.62
2001-10-23,9379.17,9499.78,9249.02,9340.08,1317300000,9340.08
2001-10-22,9203.91,9438.75,9101.08,9377.03,1105700000,9377.03
2001-10-19,9162.81,9278.36,9027.74,9204.11,1294900000,9204.11
2001-10-18,9230.75,9310.33,9061.02,9163.22,1262900000,9163.22
2001-10-17,9389.76,9539.22,9199.89,9232.97,1452200000,9232.97
2001-10-16,9346.31,9479.37,9239.68,9384.23,1210500000,9384.23
2001-10-15,9340.84,9417.51,9181.07,9347.62,1024700000,9347.62
2001-10-12,9409.07,9426.30,9146.34,9344.16,1331400000,9344.16
2001-10-11,9242.63,9522.61,9204.04,9410.45,1704580000,9410.45
2001-10-10,9052.30,9305.97,8975.15,9240.86,1312400000,9240.86
