emailDate,hour,value,,day
1/1/2001,1,1,Mon,1
1/1/2001,2,1,Mon,1
1/1/2001,4,2,Mon,1
1/1/2001,5,3,Mon,1
1/1/2001,6,1,Mon,1
1/1/2001,8,3,Mon,1
1/1/2001,9,2,Mon,1
1/1/2001,10,2,Mon,1
1/1/2001,11,3,Mon,1
1/1/2001,12,6,Mon,1
1/1/2001,13,4,Mon,1
1/1/2001,15,2,Mon,1
1/1/2001,18,2,Mon,1
1/1/2001,23,14,Mon,1
1/2/2001,0,24,Thu,4
1/2/2001,1,57,Thu,4
1/2/2001,2,25,Thu,4
1/2/2001,3,28,Thu,4
1/2/2001,4,23,Thu,4
1/2/2001,5,32,Thu,4
1/2/2001,6,29,Thu,4
1/2/2001,7,22,Thu,4
1/2/2001,8,27,Thu,4
1/2/2001,9,33,Thu,4
1/2/2001,10,24,Thu,4
1/2/2001,11,10,Thu,4
1/2/2001,12,1,Thu,4
1/2/2001,13,8,Thu,4
1/2/2001,14,8,Thu,4
1/2/2001,15,4,Thu,4
1/2/2001,16,2,Thu,4
1/2/2001,19,3,Thu,4
1/2/2001,22,3,Thu,4
1/2/2001,23,6,Thu,4
1/3/2001,0,24,Thu,4
1/3/2001,1,40,Thu,4
1/3/2001,2,25,Thu,4
1/3/2001,3,33,Thu,4
1/3/2001,4,33,Thu,4
1/3/2001,5,42,Thu,4
1/3/2001,6,33,Thu,4
1/3/2001,7,38,Thu,4
1/3/2001,8,44,Thu,4
1/3/2001,9,25,Thu,4
1/3/2001,10,19,Thu,4
1/3/2001,11,9,Thu,4
1/3/2001,12,5,Thu,4
1/3/2001,13,2,Thu,4
1/3/2001,14,1,Thu,4
1/3/2001,15,7,Thu,4
1/3/2001,17,2,Thu,4
1/3/2001,22,3,Thu,4
1/3/2001,23,6,Thu,4
1/4/2001,0,19,Sun,7
1/4/2001,1,31,Sun,7
1/4/2001,2,39,Sun,7
1/4/2001,3,22,Sun,7
1/4/2001,4,26,Sun,7
1/4/2001,5,16,Sun,7
1/4/2001,6,25,Sun,7
1/4/2001,7,38,Sun,7
1/4/2001,8,27,Sun,7
1/4/2001,9,28,Sun,7
1/4/2001,10,26,Sun,7
1/4/2001,11,7,Sun,7
1/4/2001,12,8,Sun,7
1/4/2001,13,5,Sun,7
1/4/2001,14,7,Sun,7
1/4/2001,15,1,Sun,7
1/4/2001,16,2,Sun,7
1/4/2001,17,1,Sun,7
1/4/2001,18,1,Sun,7
1/4/2001,22,5,Sun,7
1/4/2001,23,7,Sun,7
1/5/2001,0,23,Tue,2
1/5/2001,1,28,Tue,2
1/5/2001,2,38,Tue,2
1/5/2001,3,34,Tue,2
1/5/2001,4,23,Tue,2
1/5/2001,5,19,Tue,2
1/5/2001,6,41,Tue,2
1/5/2001,7,35,Tue,2
1/5/2001,8,29,Tue,2
1/5/2001,9,26,Tue,2
1/5/2001,10,10,Tue,2
1/5/2001,11,25,Tue,2
1/5/2001,13,5,Tue,2
1/5/2001,15,1,Tue,2
1/5/2001,17,1,Tue,2
1/5/2001,21,1,Tue,2
1/5/2001,23,1,Tue,2
1/6/2001,0,2,Fri,5
1/6/2001,1,2,Fri,5
1/6/2001,2,2,Fri,5
1/6/2001,4,2,Fri,5
1/6/2001,11,2,Fri,5
1/6/2001,13,1,Fri,5
1/6/2001,14,1,Fri,5
1/6/2001,16,1,Fri,5
1/7/2001,0,1,Sun,7
1/7/2001,2,3,Sun,7
1/7/2001,3,5,Sun,7
1/7/2001,4,5,Sun,7
1/7/2001,5,4,Sun,7
1/7/2001,9,2,Sun,7
1/7/2001,10,1,Sun,7
1/7/2001,11,6,Sun,7
1/7/2001,13,3,Sun,7
1/7/2001,15,4,Sun,7
1/7/2001,16,1,Sun,7
1/7/2001,22,4,Sun,7
1/7/2001,23,14,Sun,7
1/8/2001,0,18,Wed,3
1/8/2001,1,25,Wed,3
1/8/2001,2,34,Wed,3
1/8/2001,3,26,Wed,3
1/8/2001,4,34,Wed,3
1/8/2001,5,36,Wed,3
1/8/2001,6,33,Wed,3
1/8/2001,7,32,Wed,3
1/8/2001,8,31,Wed,3
1/8/2001,9,15,Wed,3
1/8/2001,10,17,Wed,3
1/8/2001,11,8,Wed,3
1/8/2001,12,4,Wed,3
1/8/2001,14,2,Wed,3
1/8/2001,15,1,Wed,3
1/8/2001,17,4,Wed,3
1/8/2001,22,2,Wed,3
1/8/2001,23,11,Wed,3
1/9/2001,0,15,Sat,6
1/9/2001,1,35,Sat,6
1/9/2001,2,40,Sat,6
1/9/2001,3,38,Sat,6
1/9/2001,4,18,Sat,6
1/9/2001,5,15,Sat,6
1/9/2001,6,32,Sat,6
1/9/2001,7,24,Sat,6
1/9/2001,8,16,Sat,6
1/9/2001,9,15,Sat,6
1/9/2001,10,5,Sat,6
1/9/2001,11,4,Sat,6
1/9/2001,12,5,Sat,6
1/9/2001,13,8,Sat,6
1/9/2001,14,12,Sat,6
1/9/2001,15,6,Sat,6
1/9/2001,16,3,Sat,6
1/9/2001,17,2,Sat,6
1/9/2001,18,3,Sat,6
1/9/2001,19,4,Sat,6
1/9/2001,20,2,Sat,6
1/9/2001,21,1,Sat,6
1/9/2001,22,1,Sat,6
1/9/2001,23,6,Sat,6
1/10/2001,0,29,Mon,1
1/10/2001,1,26,Mon,1
1/10/2001,2,33,Mon,1
1/10/2001,3,36,Mon,1
1/10/2001,4,16,Mon,1
1/10/2001,5,24,Mon,1
1/10/2001,6,35,Mon,1
1/10/2001,7,34,Mon,1
1/10/2001,8,25,Mon,1
1/10/2001,9,30,Mon,1
1/10/2001,10,13,Mon,1
1/10/2001,11,3,Mon,1
1/10/2001,12,3,Mon,1
1/10/2001,13,2,Mon,1
1/10/2001,14,5,Mon,1
1/10/2001,15,4,Mon,1
1/10/2001,16,3,Mon,1
1/10/2001,18,1,Mon,1
1/10/2001,19,1,Mon,1
1/10/2001,21,2,Mon,1
1/10/2001,22,3,Mon,1
1/10/2001,23,4,Mon,1
1/11/2001,0,24,Thu,4
1/11/2001,1,34,Thu,4
1/11/2001,2,28,Thu,4
1/11/2001,3,25,Thu,4
1/11/2001,4,23,Thu,4
1/11/2001,5,25,Thu,4
1/11/2001,6,28,Thu,4
1/11/2001,7,29,Thu,4
1/11/2001,8,21,Thu,4
1/11/2001,9,26,Thu,4
1/11/2001,10,15,Thu,4
1/11/2001,11,10,Thu,4
1/11/2001,12,4,Thu,4
1/11/2001,13,5,Thu,4
1/11/2001,14,5,Thu,4
1/11/2001,15,5,Thu,4
1/11/2001,16,5,Thu,4
1/11/2001,18,1,Thu,4
1/11/2001,21,2,Thu,4
1/11/2001,22,2,Thu,4
1/11/2001,23,10,Thu,4
1/12/2001,0,12,Sat,6
1/12/2001,1,24,Sat,6
1/12/2001,2,28,Sat,6
1/12/2001,3,25,Sat,6
1/12/2001,4,21,Sat,6
1/12/2001,5,25,Sat,6
1/12/2001,6,39,Sat,6
1/12/2001,7,18,Sat,6
1/12/2001,8,36,Sat,6
1/12/2001,9,24,Sat,6
1/12/2001,10,13,Sat,6
1/12/2001,11,34,Sat,6
1/12/2001,12,2,Sat,6
1/12/2001,13,6,Sat,6
1/12/2001,14,11,Sat,6
1/12/2001,15,7,Sat,6
1/12/2001,17,2,Sat,6
1/12/2001,22,1,Sat,6
1/12/2001,23,1,Sat,6
